epoch,train_loss,val_miou,val_pixel_acc,val_mean_acc,iou_road,iou_wall,iou_sign,iou_car
1,1.5331694062417294,0.3464153648001815,0.8183258113130585,0.48892909941293294,0.8461130087969679,0.045517465861900606,0.35469371935441135,0.6725068035117026
2,1.1016388975972888,0.3802373596598578,0.839416379531689,0.5036783968455797,0.8518473257597053,0.08314067412091039,0.37677896124046856,0.6988281654937868
3,1.025420282017283,0.3977399562526276,0.8356222619193013,0.5411695887757656,0.8601867372484866,0.09850617958152906,0.3963455005634143,0.6949363536286731
4,0.9590127320650245,0.40830905645195736,0.8392570457758786,0.5633793318093471,0.8696666100363349,0.11958320470525613,0.41365806354281903,0.7180473238516083
5,0.9260074233407734,0.4071560556608927,0.8470801802993964,0.5356576457455736,0.8599061798280988,0.10075486971991043,0.4316370465737758,0.7306687677004761
6,0.9147497819752253,0.40427176210855187,0.8381315504752053,0.5644901382653433,0.8761067016073315,0.10033433409651271,0.4145077769090696,0.7002266425913353
7,0.8943699942065888,0.407065983781517,0.8302057146418124,0.5700411854549557,0.857617886712618,0.12162416079558312,0.4263262860816699,0.6882003352849608
8,0.8747346909907686,0.4214397756295636,0.8480727000914373,0.5676357907924456,0.868788697252208,0.12497806897208062,0.4397421598255212,0.7385511179564842
9,0.8619591238618899,0.4231021681333681,0.8461682030491754,0.578068705570098,0.8704816848798773,0.11882921389441944,0.4291012241421754,0.7377777155366388
10,0.8490852403540571,0.4225252718839271,0.8474741472742542,0.5703464915391097,0.8761044282379439,0.13689268009217853,0.4414819902652105,0.7377328658274137
