epoch,train_loss,val_miou,val_pixel_acc,val_mean_acc,iou_road,iou_wall,iou_sign,iou_car
1,0.3331999793764548,0.5592460712236184,0.907595422538967,0.6944298459781608,0.9303415212959923,0.22800636329950114,0.626434577885142,0.8456313278707174
2,0.275465636023422,0.5557027299035858,0.9165634729094323,0.6483386474647227,0.9422834927832207,0.23416982023531394,0.6411128279887628,0.8691878797854192
3,0.25215773686954457,0.5737697927144274,0.9164376826430596,0.6724886287170005,0.9340186797490758,0.18033912630809573,0.5982695875773784,0.8741456174844091
4,0.24140601164058728,0.617739111353195,0.9266873156796297,0.7187837642031641,0.9529896133491308,0.2692304608442729,0.6832178443908756,0.8714646154145421
5,0.22325440950331693,0.6182315465168641,0.9272999925304668,0.7157522028424343,0.9447317047560138,0.2834107533317237,0.6892708175739223,0.8990019708657223
6,0.21335301802188408,0.6265616726090227,0.9304466062951976,0.7273790487944075,0.9471310041232615,0.29448815828120495,0.6847070254477942,0.9181594324695975
7,0.2014541714935086,0.6208158594096086,0.9301947095201916,0.7285691006352134,0.9592339034736355,0.25687455024720646,0.6416526962613843,0.8950425322663584
8,0.19622696113530078,0.637324830621315,0.9316881036190319,0.7427422595983874,0.9526081640704541,0.28027837284288076,0.6934748822459977,0.9071517687665659
9,0.18996599405690903,0.6268473318929846,0.9108180391333418,0.7591584126009252,0.8966956670540391,0.3088692945128833,0.7113616434783233,0.824936680126055
10,nan,0.5948684171236703,0.9151871811387219,0.7492782494593494,0.936867476192325,0.29151392859016273,0.6851508180296557,0.872349613359225
