epoch,train_loss,val_miou,val_pixel_acc,val_mean_acc,iou_road,iou_wall,iou_sign,iou_car
1,1.1561628467195175,0.4398413112558232,0.8603042168324264,0.6104187742416107,0.9000595568416305,0.07267156987194459,0.4824638731168135,0.8164730799464266
2,0.8151608195675522,0.4691130369056614,0.8686295865949547,0.6482683761010776,0.8923480431963444,0.09860566440782535,0.5133547490591289,0.7866647507457102
3,0.7246134753312383,0.49846417937831333,0.8752338394782354,0.6728124734992127,0.8981732586886366,0.1620693550612178,0.5360511107149635,0.8424708169556954
4,0.6510682958489706,0.4450635541433836,0.8280988541769739,0.688533514315364,0.8635818831636296,0.16727371111471806,0.4603616480347823,0.7451814951711709
5,0.6215480074762296,0.5282258966362039,0.8838586263226368,0.6832270621602435,0.8943788079745496,0.20100152472691327,0.5633022642997545,0.8302449381319026
6,0.6001763256720635,0.5049946379008498,0.869744499775293,0.7066003726830502,0.8847925073929127,0.20535855226307553,0.5407972592952549,0.8394383753121226
7,0.5660795317940852,0.5196750159468982,0.8691299570951181,0.723829993242951,0.8840612241852258,0.19100464737485273,0.5568476504152036,0.7867801207962859
8,0.545720446395273,0.5354256214746237,0.8849643717488884,0.733175957126164,0.9170497302980302,0.20875576789377834,0.5568989601559055,0.8545069358271651
9,0.5294405910090989,0.5285548861935621,0.8796275011637197,0.7310934929852173,0.8969171659095437,0.20569704790426674,0.5576545097429029,0.854740792651927
10,0.5084662823529303,0.5189749660655475,0.8698266965912832,0.7310760852279913,0.9041988689394269,0.22238173136902903,0.4732484275609954,0.823874258583681
